"Date >> Date","Time(edt) >> Time(edt)","Wind(kph) >> Wind(kph)","Vis.(km) >> Vis.(km)","Weather >> Weather","Sky Cond. >> Sky Cond.","Temperature (ºC) >> Air >> Air >> Temperature (ºC)","Temperature (ºC) >> Dwpt >> Dwpt >> Temperature (ºC)","Temperature (ºC) >> 6 hour >> Max. >> Max. >> 6 hour >> Temperature (ºC)","Temperature (ºC) >> 6 hour >> Min. >> Min. >> 6 hour >> Temperature (ºC)","RelativeHumidity >> RelativeHumidity","WindChill(°C) >> WindChill(°C)","HeatIndex(°C) >> HeatIndex(°C)","Pressure >> altimeter(cm) >> altimeter(cm) >> Pressure","Pressure >> sea level(mb) >> sea level(mb) >> Pressure","Precipitation (cm) >> 1 hr >> 1 hr >> Precipitation (cm)","Precipitation (cm) >> 3 hr >> 3 hr >> Precipitation (cm)","Precipitation (cm) >> 6 hr >> 6 hr >> Precipitation (cm)"
"08","05:51","NE 10","16","Overcast","OVC090","14.4","11.1",NA,NA,"81%","NA","NA","76.81","1023.3",NA,NA,NA
"08","04:51","N 10","16","Overcast","OVC085","13.9","11.7",NA,NA,"87%","NA","NA","76.78","1022.9",NA,"0.05",NA
"08","03:51","NE 11","16","Overcast","FEW011 SCT018 OVC023","13.9","12.2",NA,NA,"90%","NA","NA","76.76","1022.4","0.03",NA,NA
"08","02:51","NE 11","6","Light Rain Fog/Mist","FEW011 BKN019 OVC030","15","13.9",NA,NA,"93%","NA","NA","76.76","1022.3","0.03",NA,NA
"08","01:51","NE 13","16","Overcast","OVC012","15","13.9","20.6","15","93%","NA","NA","76.76","1022.3",NA,NA,"0.48"
"08","00:51","Vrbl 11","6","Light Rain Fog/Mist","BKN008 BKN012 OVC034","15.6","14.4",NA,NA,"93%","NA","NA","76.76","1022.3","0.05",NA,NA
"07","23:51","Calm","11","Light Rain","SCT011 OVC037","15.6","14.4",NA,NA,"93%","NA","NA","76.76","1022.5","0.05",NA,NA
"07","22:51","Vrbl 8","6","Light Rain Fog/Mist","FEW012 FEW030 OVC035","15.6","13.9",NA,NA,"90%","NA","NA","76.73","1021.9",NA,"0.38",NA
"07","21:51","NE 13 G 32","16","Light Rain","FEW018 FEW023 OVC036","16.1","15",NA,NA,"93%","NA","NA","76.68","1021.3","0.13",NA,NA
"07","20:51","Vrbl 8","4","Heavy Rain Fog/Mist","SCT020 OVC029","17.2","15.6",NA,NA,"90%","NA","NA","76.58","1020.2","0.25",NA,NA
"07","19:51","Vrbl 8","10","Rain","FEW013 BKN023 OVC060","20.6","17.2","26.1","20.6","81%","NA","NA","76.5","1019.0","0.03",NA,"0.03"
"07","18:51","Calm","16","Overcast","OVC060","22.8","17.2",NA,NA,"71%","NA","NA","76.45","1018.2",NA,NA,NA
"07","17:51","Vrbl 8","16","Overcast","OVC055","22.8","17.8",NA,NA,"74%","NA","NA","76.4","1017.8",NA,NA,NA
"07","16:51","Vrbl 8","16","Partly Cloudy","SCT070","23.3","17.8",NA,NA,"71%","NA","NA","76.4","1017.7",NA,NA,NA
"07","15:51","Vrbl 8","16","Mostly Cloudy","FEW055 SCT070 BKN100","25","16.1",NA,NA,"58%","NA","26.1","76.4","1017.6",NA,NA,NA
"07","14:51","Vrbl 5","16","Mostly Cloudy","SCT055 SCT065 BKN100","25.6","15",NA,NA,"52%","NA","26.1","76.43","1017.9",NA,NA,NA
"07","13:51","Vrbl 5","16","Mostly Cloudy","FEW050 BKN100","25","15","25.6","21.1","54%","NA","26.1","76.48","1018.7",NA,NA,NA
"07","12:51","NA","16","Overcast","FEW043 OVC110","23.9","15.6",NA,NA,"60%","NA","NA","76.56","1019.7",NA,NA,NA
"07","09:51","Calm","16","Overcast","OVC070","21.7","16.1",NA,NA,"71%","NA","NA","76.68","1021.3",NA,NA,NA
"07","08:51","Vrbl 5","16","Overcast","FEW070 OVC100","21.1","15.6",NA,NA,"71%","NA","NA","76.68","1021.5",NA,NA,NA
"07","07:51","Vrbl 5","16","Overcast","SCT065 OVC090","21.1","15.6","21.1","20.6","71%","NA","NA","76.68","1021.4",NA,NA,NA
"07","06:51","Vrbl 8","16","Overcast","OVC070","20.6","15.6",NA,NA,"73%","NA","NA","76.68","1021.5",NA,NA,NA
"07","05:51","Vrbl 5","16","Overcast","OVC060","21.1","15.6",NA,NA,"71%","NA","NA","76.68","1021.3",NA,NA,NA
"07","04:51","NA","16","Overcast","OVC055","21.1","16.1",NA,NA,"73%","NA","NA","76.68","1021.5",NA,NA,NA
"07","03:51","Vrbl 10","16","Overcast","OVC050","20.6","15.6",NA,NA,"73%","NA","NA","76.68","1021.5",NA,NA,NA
"07","02:51","Vrbl 5","16","Overcast","OVC048","20.6","15.6",NA,NA,"73%","NA","NA","76.73","1021.9",NA,NA,NA
"07","01:51","Calm","16","Overcast","OVC047","20.6","15","21.1","18.9","70%","NA","NA","76.78","1022.7",NA,NA,NA
"07","00:51","Vrbl 10","16","Overcast","OVC045","20.6","15.6",NA,NA,"73%","NA","NA","76.81","1023.1",NA,NA,NA
"06","23:51","NA","16","Overcast","OVC046","20.6","15.6",NA,NA,"73%","NA","NA","76.84","1023.4",NA,NA,NA
"06","22:51","S 11","14","Light Rain","OVC047","20","16.1",NA,NA,"78%","NA","NA","76.86","1023.8",NA,NA,NA
"06","21:51","S 10","16","Overcast","OVC048","20.6","15",NA,NA,"70%","NA","NA","76.86","1023.9",NA,NA,NA
"06","20:51","Vrbl 5","16","Overcast","OVC050","20","15",NA,NA,"73%","NA","NA","76.86","1023.7",NA,NA,NA
"06","19:51","Vrbl 5","16","Overcast","OVC050","18.9","16.1","21.1","18.9","84%","NA","NA","76.86","1023.7","0.03",NA,"0.03"
"06","18:51","Calm","10","Light Rain","OVC050","20","16.1",NA,NA,"78%","NA","NA","76.86","1023.9",NA,NA,NA
"06","17:51","Calm","16","Overcast","OVC045","21.1","16.1",NA,NA,"73%","NA","NA","76.89","1024.0",NA,NA,NA
"06","16:51","Calm","16","Overcast","OVC046","21.1","16.1",NA,NA,"73%","NA","NA","76.89","1024.2",NA,NA,NA
"06","15:51","Vrbl 5","16","Overcast","FEW021 OVC050","20.6","16.7",NA,NA,"78%","NA","NA","76.89","1024.3",NA,NA,NA
"06","14:51","Vrbl 8","16","Overcast","FEW025 OVC047","20.6","15.6",NA,NA,"73%","NA","NA","76.91","1024.5",NA,NA,NA
"06","13:51","Calm","16","Overcast","FEW023 OVC048","20.6","15.6","20.6","17.2","73%","NA","NA","76.96","1025.2",NA,NA,NA
"06","12:51","Vrbl 5 G 27","16","Overcast","FEW020 OVC050","20","15",NA,NA,"73%","NA","NA","77.01","1025.9",NA,NA,NA
"06","11:51","Vrbl 10","16","Overcast","OVC048","19.4","13.9",NA,NA,"71%","NA","NA","77.06","1026.3",NA,NA,NA
"06","10:51","Vrbl 10","16","Overcast","OVC042","18.3","12.8",NA,NA,"70%","NA","NA","77.06","1026.6",NA,NA,NA
"06","09:51","Vrbl 5","16","Overcast","OVC037","17.8","12.2",NA,NA,"70%","NA","NA","77.09","1026.7",NA,NA,NA
"06","08:51","Vrbl 8","16","Overcast","OVC039","17.2","11.7",NA,NA,"70%","NA","NA","77.06","1026.5",NA,NA,NA
"06","07:51","Vrbl 8","16","Overcast","OVC039","17.2","11.1","17.2","14.4","68%","NA","NA","77.09","1026.7",NA,NA,NA
"06","06:51","Vrbl 5","16","Overcast","OVC049","16.7","10",NA,NA,"65%","NA","NA","77.06","1026.5",NA,NA,NA
"06","05:51","Calm","16","Overcast","BKN044 OVC050","16.1","9.4",NA,NA,"65%","NA","NA","77.06","1026.6",NA,NA,NA
"06","04:51","Calm","16","Overcast","OVC049","15.6","8.3",NA,NA,"62%","NA","NA","77.09","1026.7",NA,NA,NA
"06","03:51","Calm","16","Mostly Cloudy","BKN050","14.4","7.8",NA,NA,"65%","NA","NA","77.11","1027.0",NA,NA,NA
"06","02:51","Calm","16","Mostly Cloudy","BKN050","14.4","8.3",NA,NA,"67%","NA","NA","77.14","1027.5",NA,NA,NA
"06","01:51","Calm","16","Overcast","OVC045","14.4","8.3","14.4","11.1","67%","NA","NA","77.17","1027.7",NA,NA,NA
"06","00:51","Vrbl 5","16","Overcast","OVC046","13.9","7.8",NA,NA,"67%","NA","NA","77.17","1027.9",NA,NA,NA
"05","23:51","Calm","16","Overcast","OVC042","13.3","7.2",NA,NA,"67%","NA","NA","77.22","1028.5",NA,NA,NA
"05","22:51","Vrbl 5","16","Mostly Cloudy","BKN039","12.8","6.1",NA,NA,"64%","NA","NA","77.24","1028.9",NA,NA,NA
"05","21:51","Calm","16","Overcast","OVC039","13.3","5.6",NA,NA,"60%","NA","NA","77.24","1029.1",NA,NA,NA
"05","20:51","Vrbl 10","16","Overcast","OVC037","12.8","4.4",NA,NA,"57%","NA","NA","77.27","1029.2",NA,NA,NA
"05","19:51","Calm","16","Fair","CLR","11.1","0.6","16.1","11.1","49%","NA","NA","77.27","1029.2",NA,NA,NA
"05","18:51","Vrbl 8","16","Fair","CLR","11.7","2.8",NA,NA,"55%","NA","NA","77.27","1029.2",NA,NA,NA
"05","17:51","Calm","16","Fair","CLR","12.8","3.3",NA,NA,"53%","NA","NA","77.24","1029.0",NA,NA,NA
"05","16:51","Calm","16","Fair","CLR","13.9","2.8",NA,NA,"47%","NA","NA","77.27","1029.1",NA,NA,NA
"05","15:51","Calm","16","Fair","CLR","14.4","3.3",NA,NA,"48%","NA","NA","77.27","1029.3",NA,NA,NA
"05","14:51","Calm","16","Fair","CLR","15","1.1",NA,NA,"39%","NA","NA","77.29","1029.6",NA,NA,NA
"05","13:51","Vrbl 8","16","Fair","CLR","15","1.1","15","7.2","39%","NA","NA","77.37","1030.5",NA,NA,NA
"05","12:51","N 13","16","Fair","CLR","14.4","0.6",NA,NA,"39%","NA","NA","77.39","1031.1",NA,NA,NA
"05","11:51","Vrbl 11","16","Fair","CLR","13.3","-0.6",NA,NA,"39%","NA","NA","77.44","1031.7",NA,NA,NA
"05","10:51","NE 13","16","Fair","CLR","11.1","0.6",NA,NA,"49%","NA","NA","77.47","1031.9",NA,NA,NA
"05","09:51","Vrbl 11","16","Fair","CLR","10.6","1.1",NA,NA,"52%","NA","NA","77.44","1031.8",NA,NA,NA
"05","08:51","NE 14","16","Fair","CLR","8.9","0",NA,NA,"54%","6.7","NA","77.42","1031.2",NA,NA,NA
"05","07:51","Vrbl 8","16","Fair","CLR","7.2","0.6","9.4","7.2","63%","5.6","NA","77.39","1031.1",NA,NA,NA
"05","06:51","N 13 G 27","16","Fair","CLR","7.2","1.1",NA,NA,"66%","5","NA","77.37","1030.5",NA,NA,NA
